Date,Open,High,Low,Close,Adj Close,Volume
2010-02-22,10010.000000,10275.000000,10010.000000,10165.000000,10165.000000,124801
2010-02-23,10165.000000,10215.000000,10025.000000,10165.000000,10165.000000,258083
2010-02-24,10060.000000,10060.000000,9865.000000,9935.000000,9935.000000,462976
2010-02-25,10050.000000,10050.000000,9545.000000,9605.000000,9605.000000,969782
2010-02-26,9655.000000,9745.000000,9585.000000,9675.000000,9675.000000,483167
2010-03-02,9855.000000,10025.000000,9845.000000,9970.000000,9970.000000,815530
2010-03-03,9975.000000,10030.000000,9935.000000,10000.000000,10000.000000,406794
2010-03-04,10010.000000,10150.000000,9925.000000,9980.000000,9980.000000,414739
2010-03-05,10015.000000,10245.000000,10015.000000,10245.000000,10245.000000,411251
2010-03-08,10450.000000,10605.000000,10450.000000,10605.000000,10605.000000,523383
2010-03-09,10575.000000,10580.000000,10515.000000,10555.000000,10555.000000,390921
2010-03-10,10605.000000,10605.000000,10475.000000,10540.000000,10540.000000,589903
2010-03-11,10600.000000,10665.000000,10465.000000,10475.000000,10475.000000,548443
2010-03-12,10570.000000,10620.000000,10420.000000,10525.000000,10525.000000,583619
2010-03-15,10550.000000,10580.000000,10220.000000,10315.000000,10315.000000,955705
2010-03-16,10355.000000,10395.000000,10245.000000,10340.000000,10340.000000,447360
2010-03-17,10450.000000,10785.000000,10450.000000,10780.000000,10780.000000,676614
2010-03-18,10680.000000,10825.000000,10650.000000,10675.000000,10675.000000,840138
2010-03-19,10760.000000,10850.000000,10680.000000,10825.000000,10825.000000,794150
2010-03-22,10745.000000,10745.000000,10465.000000,10580.000000,10580.000000,1253612
2010-03-23,10670.000000,10840.000000,10670.000000,10765.000000,10765.000000,599090
2010-03-24,10965.000000,10965.000000,10720.000000,10765.000000,10765.000000,1002610
2010-03-25,10765.000000,10860.000000,10740.000000,10835.000000,10835.000000,703496
2010-03-26,10840.000000,10935.000000,10685.000000,10900.000000,10900.000000,952548
2010-03-29,10740.000000,10970.000000,10735.000000,10850.000000,10850.000000,839122
2010-03-30,10975.000000,11000.000000,10930.000000,10980.000000,10980.000000,705715
2010-03-31,10985.000000,11005.000000,10855.000000,10885.000000,10885.000000,656039
2010-04-01,10890.000000,11290.000000,10890.000000,11245.000000,11245.000000,869379
2010-04-02,11310.000000,11375.000000,11230.000000,11370.000000,11370.000000,853997
2010-04-05,11485.000000,11485.000000,11330.000000,11485.000000,11485.000000,825171
2010-04-06,11515.000000,11560.000000,11415.000000,11480.000000,11480.000000,742783
2010-04-07,11480.000000,11535.000000,11450.000000,11455.000000,11455.000000,614217
2010-04-08,11390.000000,11545.000000,11380.000000,11495.000000,11495.000000,966501
2010-04-09,11505.000000,11550.000000,11195.000000,11400.000000,11400.000000,1619106
